item,price,location,unit,quantity,date,currency,external_id
Eggs,17,zawiya,piece,30,2025-03-15,LYD,wfp-hdx:92:2353:2025-03-15
Eggs,16.25,zawiya,piece,30,2025-04-15,LYD,wfp-hdx:92:2353:2025-04-15
Eggs,19,zawiya,piece,30,2025-05-15,LYD,wfp-hdx:92:2353:2025-05-15
Eggs,21.5,zawiya,piece,30,2025-06-15,LYD,wfp-hdx:92:2353:2025-06-15
Eggs,25.5,zawiya,piece,30,2025-10-15,LYD,wfp-hdx:92:2353:2025-10-15
Eggs,26,zawiya,piece,30,2025-11-15,LYD,wfp-hdx:92:2353:2025-11-15
Eggs,26,zawiya,piece,30,2026-01-15,LYD,wfp-hdx:92:2353:2026-01-15
Eggs,20,zawiya,piece,30,2026-02-15,LYD,wfp-hdx:92:2353:2026-02-15
Eggs,20.75,zawiya,piece,30,2026-03-15,LYD,wfp-hdx:92:2353:2026-03-15
Eggs,24.25,zawiya,piece,30,2026-04-15,LYD,wfp-hdx:92:2353:2026-04-15
